SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Hist-10-10,MACD_Signal-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Down-20-20,Aroon Up-20-20,Real Lower Band-10-10,Real Upper Band-10-10,Real Lower Band-20-20,Real Upper Band-20-20,Chaikin A/D,OBV
118.9020,118.7160,120.1992,118.8004,0.9530,1.5315,0.5785,87.4156,89.4520,62.8774,57.3148,20.7597,11.2675,77.9386,128.5642,90.0000,30.0000,65.0000,95.0000,125.6859,112.1181,123.8786,113.5534,77447224012.4951,95188412095.0000
118.5410,118.5447,119.7434,118.4373,0.8084,1.4071,0.5988,92.4369,86.4163,66.0305,58.4726,20.4967,11.1630,119.7427,181.9677,100.0000,40.0000,0.0000,100.0000,124.9475,112.1345,123.4477,113.6418,77440266492.9671,95266672516.0000
118.0500,118.1353,119.0331,117.9633,0.6587,1.1576,0.4989,88.5034,77.2686,66.6408,58.7012,19.4533,10.9136,146.2711,179.1931,90.0000,50.0000,0.0000,95.0000,123.7459,112.3541,122.8663,113.4043,77445799256.8524,95345640146.0000
117.6810,117.4938,118.1338,117.4248,0.5339,0.8080,0.2741,78.3086,64.8317,65.9117,58.3030,18.5297,10.7103,165.0218,156.6642,100.0000,60.0000,0.0000,100.0000,122.4241,112.9379,122.8120,112.1756,77377610559.0702,95256635951.0000
117.4390,116.7869,117.1146,116.8674,0.4654,0.3867,-0.0787,64.9939,48.7619,57.3613,54.0085,17.5035,10.4963,60.1430,62.7446,10.0000,70.0000,5.0000,30.0000,121.2925,113.5855,122.8453,110.7285,77306239694.3998,95130714988.0000
117.4600,116.2680,116.6845,116.6376,0.4851,0.2170,-0.2681,51.1927,32.6315,49.7589,50.7805,17.7727,10.6273,-32.9643,11.8632,20.0000,80.0000,10.0000,35.0000,121.3505,113.5695,123.1798,109.3563,77293208142.3998,94961304812.0000
117.7220,116.1946,116.7055,116.6426,0.5521,0.2478,-0.3043,30.0991,22.0010,47.8540,50.0219,18.7606,11.0397,-77.5807,-4.9154,30.0000,90.0000,15.0000,40.0000,121.6949,113.7491,123.1223,109.2669,77312693501.0061,94914613481.0000
118.0680,115.9435,116.8557,116.7071,0.6282,0.3405,-0.2877,16.6028,18.8110,44.9703,48.8722,19.1677,11.3423,-173.5514,-33.3666,40.0000,100.0000,20.0000,45.0000,121.9936,114.1424,123.2315,108.6555,77305915087.8669,94838114247.0000
118.1480,116.0050,117.2303,116.8689,0.7001,0.5414,-0.1587,19.3012,25.9149,40.4187,47.0978,18.7677,11.5008,-178.2796,-23.3789,0.0000,100.0000,25.0000,50.0000,121.8609,114.4351,123.2866,108.7233,77239924329.8301,94724887999.0000
118.3950,116.0550,117.9814,117.1867,0.7398,0.9243,0.1845,20.5292,37.2484,50.3231,51.5955,19.0423,11.8445,-58.0907,40.4272,10.0000,20.0000,30.0000,55.0000,121.1316,115.6584,123.2903,108.8198,77361271104.9124,94852847317.0000
