SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD_Hist-10-10,MACD-10-10,MACD_Signal-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Middle Band-10-10,Real Upper Band-10-10,Real Upper Band-20-20,Real Lower Band-20-20,Chaikin A/D,OBV
123.2110,119.8282,123.1316,120.8230,0.8168,2.4515,1.6347,66.3130,60.0457,71.5826,62.3072,31.3310,14.6588,109.8669,119.9158,0.0000,100.0000,100.0000,0.0000,128.5386,117.8834,127.9417,111.7146,412188665.4829,351137595.0000
122.2090,119.1268,122.2275,120.1518,0.7432,2.1737,1.4304,49.8088,61.6531,63.3600,57.7611,29.4109,14.0311,48.9133,95.6485,10.0000,80.0000,90.0000,0.0000,127.9144,116.5036,126.9914,111.2623,407197508.0497,345614835.0000
121.5250,118.4635,121.9203,119.7877,0.9084,2.1531,1.2446,64.0154,73.9995,68.3690,59.6851,28.6195,13.7301,56.1847,108.8091,20.0000,90.0000,95.0000,5.0000,127.9847,115.0653,126.9194,110.0076,409891641.6357,350162996.0000
120.8330,117.8611,121.3204,119.2791,0.9750,1.9926,1.0175,71.1351,83.6977,64.7427,57.7525,27.8728,13.4461,70.2899,130.3409,30.0000,100.0000,100.0000,10.0000,127.3009,114.3651,126.1925,109.5297,406267106.1963,346472259.0000
120.3530,117.2700,120.9116,118.8706,1.1336,1.9074,0.7738,86.8480,91.2425,66.4329,58.4084,26.2255,13.0028,84.6002,147.1577,0.0000,90.0000,95.0000,0.0000,126.7711,113.9349,125.6906,108.8494,411069751.6726,351571593.0000
119.6860,116.5994,120.3320,118.3812,1.2439,1.7343,0.4904,93.1100,87.0066,70.2376,59.8983,24.8060,12.6507,129.6763,169.6754,0.0000,100.0000,100.0000,0.0000,126.0349,113.3371,125.0586,108.1402,414361579.1857,357559584.0000
118.7010,115.7516,119.4391,117.7529,1.2242,1.4036,0.1794,93.7695,76.1922,69.9577,59.7219,22.2887,12.1109,157.4131,155.4274,10.0000,90.0000,95.0000,0.0000,124.9046,112.4974,124.3314,107.1718,415141116.0909,355468398.0000
118.0010,114.7999,118.3811,117.0742,1.1031,0.9764,-0.1267,74.1404,61.8374,70.8369,60.0901,19.9020,11.6707,257.0138,159.7478,20.0000,100.0000,100.0000,5.0000,123.0339,112.9681,123.6388,105.9610,411489606.0729,359604292.0000
117.3500,114.0300,117.0391,116.3010,0.7970,0.3945,-0.4025,60.6667,59.3721,62.4854,54.8888,17.2502,11.2073,181.9464,100.3293,30.0000,100.0000,100.0000,10.0000,120.0252,114.6748,122.0252,106.0348,405144049.0168,352068343.0000
116.8940,113.5584,116.3611,115.9021,0.6887,0.0870,-0.6017,50.7051,65.8624,53.8284,50.4235,16.3215,11.3014,23.1776,71.0018,0.0000,10.0000,55.0000,15.0000,119.0497,114.7383,121.1717,105.9452,400970240.0785,346413224.0000
116.4453,113.4307,116.2325,115.7929,0.7878,0.0139,-0.7739,66.7443,74.8852,54.6938,50.7874,16.9909,11.8013,17.0300,69.0239,0.0000,20.0000,60.0000,20.0000,119.8700,113.0206,120.8971,105.9644,404133872.7081,351437817.0000
116.0447,113.2792,116.0219,115.6469,0.8668,-0.1040,-0.9708,80.1377,73.0802,53.5455,50.2042,18.1951,12.4171,53.7455,90.5697,0.0000,30.0000,65.0000,25.0000,119.9374,112.1520,120.5557,106.0028,401884872.0927,347998169.0000
115.4020,113.1137,115.8556,115.5286,0.9763,-0.2113,-1.1875,77.7737,63.8278,56.4674,51.5198,18.7722,12.9307,70.1763,106.4061,10.0000,40.0000,70.0000,30.0000,120.5297,110.2743,120.2134,106.0139,406405186.8908,352604997.0000
114.8892,113.0155,115.4458,115.3001,0.9918,-0.4398,-1.4316,61.3292,58.4850,58.5065,52.4464,19.6405,13.5251,91.2116,116.0602,20.0000,50.0000,0.0000,35.0000,120.0207,109.7576,119.9103,106.1208,406995823.3194,356739452.0000
114.1871,113.2862,114.7982,114.9780,0.8873,-0.7923,-1.6795,52.3804,61.3486,55.1733,50.5119,20.5668,14.1429,62.5438,63.6159,0.0000,60.0000,5.0000,40.0000,119.1453,109.2289,121.3286,105.2439,403109072.0956,351446067.0000
113.5127,113.6526,114.3422,114.7809,0.8245,-1.0769,-1.9014,61.7453,66.6104,49.4900,47.3449,22.2952,14.8056,33.6915,18.5987,0.0000,70.0000,10.0000,45.0000,118.6691,108.3563,122.8899,104.4153,400489480.6380,346762555.0000
112.8022,114.0852,114.3072,114.8105,0.9223,-1.1852,-2.1075,69.9202,69.5208,56.9570,50.9003,24.7254,15.3527,111.9919,50.9898,0.0000,80.0000,15.0000,50.0000,119.0593,106.5451,124.2087,103.9617,402401480.3439,353263354.0000
111.5988,114.4346,113.6643,114.5589,0.7569,-1.5812,-2.3381,68.1657,69.7468,59.0662,51.8734,25.7025,15.9952,134.9348,43.6060,10.0000,90.0000,20.0000,55.0000,118.5949,104.6027,125.4105,103.4588,402743842.8650,357552955.0000
110.7100,114.7071,112.7208,114.2062,0.3915,-2.1358,-2.5273,70.4764,72.8403,53.9180,48.7534,26.8797,16.6968,162.3621,27.2537,20.0000,100.0000,0.0000,60.0000,116.4117,105.0083,126.2694,103.1448,398643916.6150,351930199.0000
110.2229,115.2026,112.0965,114.0669,0.0548,-2.5704,-2.6252,70.5982,75.1132,46.0197,44.3205,28.1877,17.4354,75.8457,-33.4924,30.0000,0.0000,0.0000,65.0000,114.9418,105.5039,127.6770,102.7283,406590001.7157,342938047.0000
