SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Signal-10-10,MACD_Hist-10-10,SlowD,SlowK,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Upper Band-10-10,Real Lower Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
146.0300,146.3660,147.0776,145.9967,0.4872,1.1118,0.6246,79.2806,88.6173,71.4954,60.9952,22.0548,11.5718,123.9367,124.5554,40.0000,100.0000,0.0000,100.0000,150.7008,141.3592,150.9925,141.7395,1014679420.2044,919169373.0000
145.6144,145.7918,146.3681,145.5469,0.3432,0.8460,0.5028,67.4238,79.8698,67.7189,58.7530,20.7249,11.2019,128.9789,93.2710,50.0000,90.0000,0.0000,40.0000,149.3476,141.8811,151.1332,140.4505,1008451343.5890,912422290.0000
145.3487,145.2632,145.7833,145.1834,0.2068,0.6238,0.4170,52.5993,69.3546,64.8835,57.1692,19.7644,10.9483,139.8381,90.2600,60.0000,100.0000,0.0000,45.0000,148.3953,142.3020,151.2797,139.2467,1005627716.7212,905111804.0000
145.3655,144.7330,145.2595,144.8722,0.0534,0.4186,0.3653,36.4849,53.0470,62.5055,55.8778,18.6848,10.6788,90.6769,68.1231,70.0000,0.0000,0.0000,50.0000,148.4751,142.2560,151.4683,137.9976,1009982161.0397,897366288.0000
145.6004,144.2466,144.7728,144.6009,-0.1310,0.2210,0.3520,24.0879,35.3963,50.3597,50.1452,17.8581,10.4980,-59.6502,-2.9291,80.0000,10.0000,0.0000,55.0000,149.5463,141.6544,151.5109,136.9823,1010249016.3516,887670545.0000
146.0179,143.8203,144.7934,144.5926,-0.1372,0.2475,0.3847,16.8276,21.0113,46.5331,48.5874,18.9629,10.9146,-77.1768,1.7342,90.0000,20.0000,5.0000,60.0000,150.3505,141.6853,151.8890,135.7517,997718422.7516,872007303.0000
146.3445,143.4320,144.9697,144.6549,-0.0720,0.3470,0.4190,15.7581,15.8560,44.7285,47.8590,19.9510,11.3057,-109.7342,1.3653,100.0000,30.0000,10.0000,65.0000,150.5086,142.1804,152.1501,134.7139,997459589.1135,868948302.0000
146.6535,143.1178,145.2563,144.7576,0.0645,0.5015,0.4370,16.5033,13.6155,45.5501,48.2445,20.4921,11.6048,-124.7204,13.6552,90.0000,40.0000,15.0000,70.0000,150.4204,142.8865,152.2219,134.0136,995546441.0677,876542920.0000
146.9911,143.0319,145.5644,144.8510,0.2512,0.6721,0.4209,22.8372,17.8027,45.5501,48.2445,21.7269,12.0741,-155.5910,18.6026,100.0000,50.0000,20.0000,75.0000,150.2737,143.7085,152.1385,133.9253,1001608225.2884,876542920.0000
147.1103,142.9867,145.9409,144.9543,0.5220,0.8801,0.3581,34.8739,18.0916,51.4734,51.1193,23.0989,12.5680,-86.0384,44.2207,0.0000,60.0000,25.0000,80.0000,149.9932,144.2273,152.0852,133.8882,1004836142.4770,883861175.0000
146.7021,142.9311,146.0745,144.9137,0.7555,0.9830,0.2276,55.3868,32.6173,54.8570,52.6913,24.9280,12.9410,-39.8628,44.4249,0.0000,70.0000,30.0000,85.0000,151.1842,142.2200,151.9848,133.8774,1009576911.3724,890217317.0000
145.9693,142.8288,146.0656,144.7873,0.9826,1.0213,0.0387,74.7763,53.9128,55.8310,53.1491,27.3545,13.4265,30.2654,71.2853,0.0000,80.0000,35.0000,90.0000,152.5168,139.4217,151.7821,133.8756,1004318434.7358,898205033.0000
145.1778,142.6580,146.0041,144.6236,1.2391,1.0321,-0.2070,86.4945,79.6302,64.7364,57.2149,28.3838,13.5520,69.7921,105.1377,0.0000,90.0000,40.0000,95.0000,153.1186,137.2370,151.4658,133.8503,1010979442.7358,904866041.0000
144.1004,142.4197,145.4919,144.2357,1.3473,0.8306,-0.5167,89.9057,90.7859,72.6358,60.5485,27.5922,13.2718,93.8459,134.0864,0.0000,100.0000,45.0000,100.0000,152.9242,135.2766,150.8529,133.9865,1016054027.3720,912163777.0000
142.8929,142.0955,144.5349,143.6501,1.2633,0.4097,-0.8536,87.7611,89.0673,70.5902,59.1153,25.8926,12.8095,93.2511,125.5067,0.0000,100.0000,50.0000,100.0000,151.5709,134.2148,149.8395,134.3515,1013549981.9985,905897393.0000
141.6228,142.0061,143.5749,143.1022,1.1319,-0.0375,-1.1694,85.9220,89.8638,66.8319,56.5921,24.4385,12.4638,88.8870,95.7017,10.0000,90.0000,55.0000,95.0000,150.1551,133.0904,149.4723,134.5399,1010660678.8692,900000856.0000
140.5195,141.9510,142.7546,142.6639,1.0065,-0.4459,-1.4524,81.1095,84.3522,65.5954,55.7820,23.7634,12.3929,119.3688,98.4428,20.0000,100.0000,60.0000,100.0000,148.6933,132.3458,149.2760,134.6260,1007687862.7115,895288679.0000
139.5821,141.9659,141.8624,142.2317,0.7939,-0.9101,-1.7040,77.0940,83.5500,67.7786,56.7479,22.9030,12.2944,167.9150,94.0739,30.0000,90.0000,65.0000,0.0000,146.7636,132.4006,149.3311,134.6006,1008942523.9191,901671086.0000
139.0727,141.9698,140.6660,141.7039,0.3646,-1.5379,-1.9025,70.5364,75.4262,62.6509,53.2210,22.1739,12.2642,193.4709,69.7658,40.0000,100.0000,70.0000,0.0000,144.5207,133.6246,149.3465,134.5932,1004344525.4840,894284624.0000
138.8631,142.2558,139.6891,141.3504,-0.1007,-2.0944,-1.9936,64.3133,72.3057,50.2449,45.9291,21.3638,12.2323,59.7251,-33.6162,50.0000,0.0000,75.0000,5.0000,143.4700,134.2563,150.4842,134.0275,1009655428.9262,881932980.0000
139.1601,142.6888,139.3404,141.3601,-0.4185,-2.3870,-1.9685,55.4011,63.8772,38.2418,40.1688,23.4698,12.4841,-2.9069,-65.3398,60.0000,10.0000,80.0000,10.0000,144.6451,133.6750,151.5486,133.8289,1006868815.0602,875990442.0000
