SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Hist-10-10,MACD_Signal-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Down-20-20,Aroon Up-20-20,Real Lower Band-10-10,Real Middle Band-10-10,Real Lower Band-20-20,Real Upper Band-20-20,Chaikin A/D,OBV
120.0930,120.0043,121.1723,119.9907,1.2778,0.7649,0.5129,87.4156,89.4520,61.6972,57.0003,20.7597,11.2675,77.9386,128.5642,30.0000,90.0000,95.0000,65.0000,114.1607,126.0254,124.5066,115.5020,77447224012.4951,95188412095.0000
119.7130,119.8320,120.7970,119.6886,1.1754,0.6367,0.5388,92.4369,86.4163,66.3012,58.7810,20.4967,11.1630,119.7427,181.9677,40.0000,100.0000,100.0000,0.0000,114.0581,125.3678,124.1435,115.5204,77440266492.9671,95266672516.0000
119.3170,119.4125,120.1341,119.2579,0.9341,0.5020,0.4321,88.5034,77.2686,65.2605,58.2280,19.4533,10.9136,146.2711,179.1931,50.0000,90.0000,95.0000,0.0000,114.3432,124.2907,123.7384,115.0866,77445799256.8524,95345640146.0000
119.0474,118.8089,119.4151,118.8250,0.6543,0.3939,0.2603,78.3086,64.8317,65.7028,58.4083,18.5297,10.7103,165.0218,156.6642,60.0000,100.0000,100.0000,0.0000,114.7330,123.3617,124.0332,113.5846,77377610559.0702,95256635951.0000
118.7994,118.1599,118.5141,118.3362,0.2775,0.3289,-0.0514,64.9939,48.7619,59.4828,55.0829,17.5035,10.4963,60.1430,62.7446,70.0000,10.0000,30.0000,5.0000,115.3273,122.2716,124.0851,112.2347,77306239694.3998,95130714988.0000
118.6696,117.7012,117.9684,118.0589,0.0469,0.3417,-0.2948,51.1927,32.6315,47.5663,49.7708,17.7727,10.6273,-32.9643,11.8632,80.0000,20.0000,35.0000,10.0000,115.4435,121.8957,124.0875,111.3149,77293208142.3998,94961304812.0000
118.9736,117.6631,118.0747,118.1188,0.1064,0.4154,-0.3090,30.0991,22.0010,44.4390,48.5413,18.7606,11.0397,-77.5807,-4.9154,90.0000,30.0000,40.0000,15.0000,115.6772,122.2700,124.0631,111.2632,77312693501.0061,94914613481.0000
119.2616,117.5872,118.3690,118.2629,0.2560,0.4927,-0.2366,16.6028,18.8110,40.5583,47.0438,19.1677,11.3423,-173.5514,-33.3666,100.0000,40.0000,45.0000,20.0000,116.3071,122.2161,124.0642,111.1101,77305915087.8669,94838114247.0000
119.4356,117.6486,118.9288,118.5169,0.5350,0.5518,-0.0169,19.3012,25.9149,46.2804,49.7491,18.7677,11.5008,-178.2796,-23.3789,100.0000,0.0000,50.0000,25.0000,117.1839,121.6873,124.0817,111.2154,77239924329.8301,94724887999.0000
119.8726,117.5850,119.2196,118.6112,0.7029,0.5560,0.1469,20.5292,37.2484,50.4405,51.5794,19.0423,11.8445,-58.0907,40.4272,20.0000,10.0000,55.0000,30.0000,117.5066,122.2386,124.0431,111.1269,77361271104.9124,94852847317.0000
119.9156,117.4640,119.3196,118.5945,0.7901,0.5193,0.2708,37.9144,54.8547,51.4911,52.0381,20.1887,12.1348,-29.9472,52.8019,30.0000,20.0000,60.0000,35.0000,117.6166,122.2145,123.9194,111.0085,77429902129.2773,94926451604.0000
119.9510,117.4028,119.3772,118.5455,0.8602,0.4516,0.4086,53.3017,66.6432,54.1515,53.2164,21.4624,12.4404,7.4065,68.1006,0.0000,30.0000,65.0000,40.0000,117.6953,122.2066,123.8197,110.9859,77383458000.1573,94852338632.0000
119.5080,117.3368,119.2789,118.4114,0.8599,0.3494,0.5105,73.3480,70.8862,57.1373,54.5348,21.8073,12.5526,85.2075,97.6149,0.0000,40.0000,70.0000,45.0000,115.9563,123.0598,123.6796,110.9940,77457263997.6078,94928660743.0000
118.5704,117.2418,118.9688,118.1732,0.7600,0.2218,0.5382,73.2800,65.5042,58.2056,55.0137,21.2862,12.4992,79.3885,108.1340,0.0000,50.0000,75.0000,50.0000,112.6107,124.5301,123.4371,111.0466,77494271662.2944,95002931716.0000
117.5203,117.2029,118.5196,117.8767,0.5893,0.0873,0.5021,66.0305,59.3899,55.0490,53.3911,20.7073,12.4431,63.8660,92.7879,10.0000,60.0000,80.0000,55.0000,110.1117,124.9289,123.3127,111.0932,77447333568.6404,94911748698.0000
116.7328,117.2862,118.2636,117.6877,0.4971,-0.0383,0.5354,57.2022,58.5713,57.5981,54.6094,20.7403,12.5568,81.3005,104.2993,20.0000,70.0000,85.0000,60.0000,108.7542,124.7115,123.5714,111.0011,77402977713.7901,94830060112.0000
116.3527,117.3093,117.7600,117.3886,0.2848,-0.1721,0.4569,54.9371,66.9644,55.6604,53.5536,20.2257,12.5631,82.0303,79.0043,30.0000,80.0000,0.0000,65.0000,108.7821,123.9232,123.6450,110.9736,77438834070.0758,94933410786.0000
115.9128,117.4687,117.3444,117.1526,0.1013,-0.2863,0.3876,63.5746,78.5082,51.1020,51.1048,20.0692,12.6824,42.2773,6.1988,40.0000,90.0000,0.0000,70.0000,108.6501,123.1754,124.1792,110.7581,77336395726.4583,94821115832.0000
115.8615,117.8479,117.2899,117.1066,0.0733,-0.3832,0.4565,82.3816,80.3240,63.8428,57.2945,20.8857,13.0703,90.4326,50.4188,50.0000,100.0000,5.0000,75.0000,108.6398,123.0833,125.3530,110.3427,77327619672.7589,94959139222.0000
115.2974,117.9966,116.2454,116.5925,-0.4115,-0.4974,0.0858,89.5685,66.9102,57.8449,53.9335,20.4575,13.1889,105.1217,39.2571,60.0000,90.0000,10.0000,80.0000,109.3014,121.2935,125.9298,110.0634,77468088140.9407,95113654537.0000
115.0124,117.8765,115.5888,116.3181,-0.7403,-0.5188,-0.2215,69.0220,43.6040,58.5141,54.2442,21.3368,13.6788,130.0132,49.1700,70.0000,100.0000,15.0000,85.0000,109.5372,120.4875,125.8059,109.9471,77391658583.9049,95228112459.0000
114.8546,117.7158,114.7388,115.9922,-1.1708,-0.4634,-0.7074,42.1403,31.1264,48.4011,48.9896,21.9526,14.1155,28.7606,-41.5648,80.0000,0.0000,20.0000,90.0000,109.8228,119.8865,125.6443,109.7872,77319475459.5773,95101725385.0000
