SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD_Hist-10-10,MACD-10-10,MACD_Signal-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Middle Band-10-10,Real Lower Band-10-10,Real Upper Band-20-20,Real Lower Band-20-20,Chaikin A/D,OBV
124.0638,120.8778,124.0182,121.8240,0.8053,2.3031,1.4978,66.3130,60.0457,71.9429,61.8388,31.3310,14.6588,109.8669,119.9158,100.0000,0.0000,100.0000,0.0000,118.8902,129.2374,128.5868,113.1689,412188665.4829,351137595.0000
123.0708,120.1931,123.2712,121.2392,0.7914,2.0879,1.2965,49.8088,61.6531,65.6090,58.3854,29.4109,14.0311,48.9133,95.6485,80.0000,10.0000,90.0000,0.0000,117.0775,129.0641,127.9029,112.4833,407197508.0497,345614835.0000
122.4728,119.5664,122.9181,120.8580,0.9407,2.0394,1.0987,64.0154,73.9995,64.9880,58.0707,28.6195,13.7301,56.1847,108.8091,90.0000,20.0000,95.0000,5.0000,116.1298,128.8158,127.6840,111.4488,409891641.6357,350162996.0000
121.8628,119.0364,122.5354,120.4599,1.1067,1.9702,0.8635,71.1351,83.6977,71.2516,60.4185,27.8728,13.4461,70.2899,130.3409,100.0000,30.0000,100.0000,10.0000,115.3013,128.4243,127.1438,110.9291,406267106.1963,346472259.0000
121.1348,118.3571,121.8033,119.8946,1.1452,1.7321,0.5868,86.8480,91.2425,69.4003,59.3290,26.2255,13.0028,84.6002,147.1577,90.0000,0.0000,95.0000,0.0000,114.8876,127.3820,126.3498,110.3644,411069751.6726,351571593.0000
120.3718,117.6193,121.0929,119.3572,1.1869,1.4874,0.3005,93.1100,87.0066,70.9510,59.9199,24.8060,12.6507,129.6763,169.6754,100.0000,0.0000,100.0000,0.0000,114.3392,126.4044,125.7460,109.4926,414361579.1857,357559584.0000
119.4775,116.7594,120.1551,118.7303,1.1179,1.1217,0.0038,93.7695,76.1922,68.9927,58.6924,22.2887,12.1109,157.4131,155.4274,90.0000,10.0000,95.0000,0.0000,114.0155,124.9395,125.0849,108.4339,415141116.0909,355468398.0000
118.8795,115.9531,119.2274,118.1409,1.0144,0.7387,-0.2757,74.1404,61.8374,70.7392,59.3956,19.9020,11.6707,257.0138,159.7478,100.0000,20.0000,100.0000,5.0000,114.4644,123.2946,124.3132,107.5929,411489606.0729,359604292.0000
118.2235,115.2495,118.0046,117.4473,0.7276,0.1983,-0.5293,60.6667,59.3721,61.4951,53.8621,17.2502,11.2073,181.9464,100.3293,100.0000,30.0000,100.0000,10.0000,116.1543,120.2927,122.8726,107.6264,405144049.0168,352068343.0000
118.1460,114.8888,117.4467,117.1244,0.6461,-0.0651,-0.7112,50.7051,65.8624,53.7782,50.0662,16.3215,11.3014,23.1776,71.0018,10.0000,0.0000,55.0000,15.0000,116.3919,119.9001,122.1555,107.6221,400970240.0785,346413224.0000
117.6919,114.7367,117.3149,117.0280,0.7243,-0.1484,-0.8727,66.7443,74.8852,51.7015,49.1182,16.9909,11.8013,17.0300,69.0239,20.0000,0.0000,60.0000,20.0000,114.3924,120.9913,121.8591,107.6143,404133872.7081,351437817.0000
117.3155,114.5865,117.2848,116.9836,0.8614,-0.1924,-1.0538,80.1377,73.0802,57.3192,51.3636,18.1951,12.4171,53.7455,90.5697,30.0000,0.0000,65.0000,25.0000,113.2270,121.4039,121.5995,107.5734,401884872.0927,347998169.0000
116.6600,114.4451,116.9303,116.7839,0.8777,-0.3915,-1.2691,77.7737,63.8278,56.3032,50.8561,18.7722,12.9307,70.1763,106.4061,40.0000,10.0000,70.0000,30.0000,111.7632,121.5568,121.2160,107.6741,406405186.8908,352604997.0000
