SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Signal-10-10,MACD_Hist-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Lower Band-10-10,Real Middle Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
147.0102,147.4033,147.9343,147.0318,0.4192,0.9155,0.4962,88.6173,79.2806,65.8439,58.0668,22.0548,11.5718,123.9367,124.5554,40.0000,100.0000,100.0000,0.0000,151.6383,142.3821,151.9328,142.8738,1014679420.2044,919169373.0000
146.6224,146.9299,147.4064,146.6867,0.3305,0.7219,0.3914,79.8698,67.4238,63.4817,56.7726,20.7249,11.2019,128.9789,93.2710,50.0000,90.0000,40.0000,0.0000,150.6962,142.5486,152.0818,141.7780,1008451343.5890,912422290.0000
146.5360,146.5282,146.9234,146.3822,0.2298,0.5386,0.3088,69.3546,52.5993,64.1932,57.0706,19.7644,10.9483,139.8381,90.2600,60.0000,100.0000,45.0000,0.0000,150.3857,142.6863,152.0317,141.0247,1005627716.7212,905111804.0000
146.5230,146.0416,146.3041,146.0319,0.0323,0.2836,0.2514,53.0470,36.4849,62.5057,56.0938,18.6848,10.6788,90.6769,68.1231,70.0000,0.0000,50.0000,0.0000,150.3304,142.7156,152.0332,140.0500,1009982161.0397,897366288.0000
146.6345,145.4871,145.6762,145.7058,-0.2302,0.0131,0.2433,35.3963,24.0879,45.4807,47.7842,17.8581,10.4980,-59.6502,-2.9291,80.0000,10.0000,55.0000,0.0000,150.7902,142.4788,152.2372,138.7370,1010249016.3516,887670545.0000
147.0847,145.0732,145.8576,145.7948,-0.1984,0.1024,0.3008,21.0113,16.8276,44.4076,47.3370,18.9629,10.9146,-77.1768,1.7342,90.0000,20.0000,60.0000,5.0000,151.3478,142.8215,152.8618,137.2845,997718422.7516,872007303.0000
147.3802,144.7269,146.1241,145.9144,-0.1150,0.2354,0.3504,15.8560,15.7581,41.9165,46.2787,19.9510,11.3057,-109.7342,1.3653,100.0000,30.0000,65.0000,10.0000,151.3276,143.4328,153.1486,136.3052,997459589.1135,868948302.0000
147.7792,144.5679,146.5583,146.0981,0.0723,0.4515,0.3792,13.6155,16.5033,44.0828,47.3809,20.4921,11.6048,-124.7204,13.6552,90.0000,40.0000,70.0000,15.0000,151.1058,144.4526,153.1443,135.9916,995546441.0677,876542920.0000
148.0740,144.4939,146.9568,146.2384,0.2990,0.6601,0.3611,17.8027,22.8372,48.8356,49.7355,21.7269,12.0741,-155.5910,18.6026,100.0000,50.0000,75.0000,20.0000,150.7360,145.4120,153.0877,135.9000,1001608225.2884,876542920.0000
148.2681,144.3814,147.1672,146.2624,0.5036,0.7900,0.2864,18.0916,34.8739,52.5138,51.4902,23.0989,12.5680,-86.0384,44.2207,0.0000,60.0000,80.0000,25.0000,150.5567,145.9796,152.9518,135.8111,1004836142.4770,883861175.0000
147.7964,144.3581,147.2247,146.1944,0.6924,0.8529,0.1605,32.6173,55.3868,50.7428,50.6122,24.9280,12.9410,-39.8628,44.4249,0.0000,70.0000,85.0000,30.0000,152.0833,143.5096,152.9033,135.8129,1009576911.3724,890217317.0000
147.2374,144.2702,147.4008,146.1694,0.9818,0.9692,-0.0126,53.9128,74.7763,60.4680,55.1563,27.3545,13.4265,30.2654,71.2853,0.0000,80.0000,90.0000,35.0000,153.2150,141.2597,152.7643,135.7761,1004318434.7358,898205033.0000
146.5204,144.0507,147.1085,145.9013,1.1291,0.8710,-0.2581,79.6302,86.4945,64.6887,56.9952,28.3838,13.5520,69.7921,105.1377,0.0000,90.0000,95.0000,40.0000,153.2847,139.7560,152.2972,135.8042,1010979442.7358,904866041.0000
145.5601,143.8084,146.5593,145.5141,1.1855,0.6451,-0.5404,90.7859,89.9057,67.9774,58.4202,27.5922,13.2718,93.8459,134.0864,0.0000,100.0000,100.0000,45.0000,153.0065,138.1138,151.6665,135.9504,1016054027.3720,912163777.0000
144.3397,143.6893,145.7403,145.0161,1.1163,0.2796,-0.8367,89.0673,87.7611,65.9052,57.0656,25.8926,12.8095,93.2511,125.5067,0.0000,100.0000,100.0000,50.0000,152.2975,136.3819,151.2186,136.1599,1013549981.9985,905897393.0000
143.0617,143.6073,144.9355,144.5587,1.0148,-0.1010,-1.1158,89.8638,85.9220,61.4673,54.2666,24.4385,12.4638,88.8870,95.7017,10.0000,90.0000,95.0000,55.0000,151.4750,134.6484,150.9206,136.2941,1010660678.8692,900000856.0000
142.0736,143.5701,144.3404,144.2371,0.9622,-0.4073,-1.3695,84.3522,81.1095,63.8030,55.3376,23.7634,12.3929,119.3688,98.4428,20.0000,100.0000,100.0000,60.0000,150.4371,133.7102,150.8086,136.3316,1007687862.7115,895288679.0000
141.3566,143.5617,143.4916,143.8242,0.7620,-0.8480,-1.6101,83.5500,77.0940,62.7610,54.6418,22.9030,12.2944,167.9150,94.0739,30.0000,90.0000,0.0000,65.0000,148.6740,134.0393,150.7791,136.3442,1008942523.9191,901671086.0000
140.9138,143.6297,142.5535,143.4148,0.4479,-1.3527,-1.8006,75.4262,70.5364,63.6404,55.0765,22.1739,12.2642,193.4709,69.7658,40.0000,100.0000,0.0000,70.0000,147.0849,134.7426,151.0258,136.2336,1004344525.4840,894284624.0000
140.4947,143.8358,141.3540,142.9373,-0.0888,-2.0014,-1.9125,72.3057,64.3133,47.7029,45.0369,21.3638,12.2323,59.7251,-33.6162,50.0000,0.0000,5.0000,75.0000,145.0567,135.9327,151.9018,135.7699,1009655428.9262,881932980.0000
140.9197,144.2475,141.1678,143.0158,-0.3235,-2.2138,-1.8903,63.8772,55.4011,42.3722,42.1573,23.4698,12.4841,-2.9069,-65.3398,60.0000,10.0000,10.0000,80.0000,146.6717,135.1677,152.7634,135.7315,1006868815.0602,875990442.0000
141.3030,144.6457,141.2404,143.2446,-0.5058,-2.3153,-1.8094,56.7570,43.9382,44.5036,43.2819,24.6102,12.4392,-14.5612,-74.7242,70.0000,20.0000,15.0000,85.0000,147.4783,135.1277,153.2318,136.0595,1011765846.6594,867974282.0000
