SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Hist-10-10,MACD_Signal-10-10,SlowK,SlowD,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Down-20-20,Aroon Up-20-20,Real Lower Band-10-10,Real Upper Band-10-10,Real Lower Band-20-20,Real Upper Band-20-20,Chaikin A/D,OBV
117.6460,117.3783,118.8673,117.4259,0.5716,1.6008,1.0292,87.4156,89.4520,65.1295,59.1564,20.7597,11.2675,77.9386,128.5642,30.0000,90.0000,65.0000,95.0000,124.0235,111.2685,122.3304,112.4262,77447224012.4951,95188412095.0000
117.1750,117.1357,118.2778,116.9949,0.5336,1.4199,0.8863,92.4369,86.4163,68.3496,60.4539,20.4967,11.1630,119.7427,181.9677,40.0000,100.0000,0.0000,100.0000,123.0112,111.3388,121.7136,112.5577,77440266492.9671,95266672516.0000
116.7540,116.6330,117.4039,116.4460,0.3452,1.0982,0.7529,88.5034,77.2686,65.4047,58.8122,19.4533,10.9136,146.2711,179.1931,50.0000,90.0000,0.0000,95.0000,121.6001,111.9079,121.0778,112.1882,77445799256.8524,95345640146.0000
116.5610,116.0156,116.6293,115.9782,0.1393,0.8058,0.6666,78.3086,64.8317,63.3591,57.7000,18.5297,10.7103,165.0218,156.6642,60.0000,100.0000,0.0000,100.0000,120.8551,112.2669,121.2785,110.7527,77377610559.0702,95256635951.0000
116.3746,115.3718,115.8780,115.5538,-0.1211,0.5106,0.6318,64.9939,48.7619,54.5676,53.3483,17.5035,10.4963,60.1430,62.7446,70.0000,10.0000,5.0000,30.0000,120.1887,112.5605,121.5866,109.1571,77306239694.3998,95130714988.0000
116.4806,114.9081,115.6709,115.4215,-0.2098,0.4522,0.6621,51.1927,32.6315,52.6837,52.4923,17.7727,10.6273,-32.9643,11.8632,80.0000,20.0000,10.0000,35.0000,120.3948,112.5664,121.9532,107.8629,77293208142.3998,94961304812.0000
116.7156,114.6974,115.5489,115.3375,-0.2833,0.4312,0.7145,30.0991,22.0010,49.3176,50.9712,18.7606,11.0397,-77.5807,-4.9154,90.0000,30.0000,15.0000,40.0000,120.8167,112.6145,121.8245,107.5702,77312693501.0061,94914613481.0000
116.8426,114.4843,115.6331,115.3551,-0.2804,0.5050,0.7854,16.6028,18.8110,39.8555,47.0109,19.1677,11.3423,-173.5514,-33.3666,100.0000,40.0000,20.0000,45.0000,120.8212,112.8640,121.7946,107.1740,77305915087.8669,94838114247.0000
116.9966,114.5719,116.3093,115.6462,-0.0010,0.8545,0.8554,19.3012,25.9149,43.1124,48.6908,18.7677,11.5008,-178.2796,-23.3789,100.0000,0.0000,25.0000,50.0000,120.3795,113.6137,121.8312,107.3127,77239924329.8301,94724887999.0000
117.2266,114.5187,116.8780,115.8458,0.3143,1.1700,0.8557,20.5292,37.2484,55.5892,54.3181,19.0423,11.8445,-58.0907,40.4272,20.0000,10.0000,30.0000,55.0000,119.9422,114.5110,121.8168,107.2206,77361271104.9124,94852847317.0000
117.1106,114.3583,116.7865,115.6937,0.4182,1.1953,0.7771,37.9144,54.8547,53.9633,53.6277,20.1887,12.1348,-29.9472,52.8019,30.0000,20.0000,35.0000,60.0000,119.9035,114.3177,121.5459,107.1708,77429902129.2773,94926451604.0000
117.0963,114.2375,116.7812,115.5762,0.5866,1.2591,0.6725,53.3017,66.6432,58.7634,55.6069,21.4624,12.4404,7.4065,68.1006,0.0000,30.0000,40.0000,65.0000,119.8966,114.2960,121.3368,107.1381,77383458000.1573,94852338632.0000
116.5119,114.1499,116.5104,115.3211,0.6752,1.2011,0.5259,73.3480,70.8862,62.8206,57.2255,21.8073,12.5526,85.2075,97.6149,0.0000,40.0000,45.0000,70.0000,120.5008,112.5231,121.1032,107.1966,77457263997.6078,94928660743.0000
