SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD_Hist-10-10,MACD-10-10,MACD_Signal-10-10,SlowD,SlowK,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Middle Band-10-10,Real Upper Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
121.6295,118.5584,121.5778,119.4355,2.2815,0.7206,1.5609,60.0457,66.3130,69.5203,60.3696,31.3310,14.6588,109.8669,119.9158,0.0000,100.0000,0.0000,100.0000,116.6834,126.5756,125.9834,111.1334,412188665.4829,351137595.0000
120.8545,117.9483,121.1196,118.9930,2.1994,0.8186,1.3808,61.6531,49.8088,68.5665,59.8667,29.4109,14.0311,48.9133,95.6485,10.0000,80.0000,0.0000,90.0000,115.0561,126.6529,125.6045,110.2921,407197508.0497,345614835.0000
120.2005,117.2644,120.6372,118.5406,2.0982,0.9221,1.1761,73.9995,64.0154,66.1711,58.6122,28.6195,13.7301,56.1847,108.8091,20.0000,90.0000,5.0000,95.0000,114.1775,126.2235,125.3226,109.2063,409891641.6357,350162996.0000
119.6665,116.7464,120.2433,118.1333,2.0282,1.0826,0.9456,83.6977,71.1351,69.8168,59.9680,27.8728,13.4461,70.2899,130.3409,30.0000,100.0000,10.0000,100.0000,113.5752,125.7578,124.7467,108.7461,406267106.1963,346472259.0000
119.0705,116.1268,119.6129,117.6126,1.8411,1.1661,0.6749,91.2425,86.8480,69.8685,59.9877,26.2255,13.0028,84.6002,147.1577,0.0000,90.0000,0.0000,95.0000,113.2726,124.8684,123.9872,108.2664,411069751.6726,351571593.0000
118.2625,115.2849,118.8402,117.0361,1.5745,1.1911,0.3834,87.0066,93.1100,73.9082,61.5611,24.8060,12.6507,129.6763,169.6754,0.0000,100.0000,0.0000,100.0000,112.6825,123.8425,123.5770,106.9927,414361579.1857,357559584.0000
117.2195,114.3427,117.7136,116.3125,1.1278,1.0421,0.0856,76.1922,93.7695,70.5435,59.3369,22.2887,12.1109,157.4131,155.4274,10.0000,90.0000,0.0000,95.0000,112.4053,122.0337,122.7813,105.9041,415141116.0909,355468398.0000
116.6305,113.4595,116.7366,115.7022,0.7245,0.8994,-0.1749,61.8374,74.1404,67.8371,57.6491,19.9020,11.6707,257.0138,159.7478,20.0000,100.0000,5.0000,100.0000,113.0778,120.1832,122.1550,104.7641,411489606.0729,359604292.0000
116.1750,112.8443,115.8326,115.1651,0.3321,0.7319,-0.3998,59.3721,60.6667,58.5537,52.5845,17.2502,11.2073,181.9464,100.3293,30.0000,100.0000,10.0000,100.0000,113.9661,118.3839,121.1042,104.5843,405144049.0168,352068343.0000
115.9750,112.4950,115.5131,114.9435,0.1864,0.7691,-0.5827,65.8624,50.7051,56.7085,51.6839,16.3215,11.3014,23.1776,71.0018,0.0000,10.0000,15.0000,55.0000,113.8379,118.1121,120.5654,104.4245,400970240.0785,346413224.0000
