SMA-10-10,SMA-20-20,EMA-10-10,EMA-20-20,MACD-10-10,MACD_Signal-10-10,MACD_Hist-10-10,SlowD,SlowK,RSI-10-10,RSI-20-20,ADX-10-10,ADX-20-20,CCI-10-10,CCI-20-20,Aroon Down-10-10,Aroon Up-10-10,Aroon Up-20-20,Aroon Down-20-20,Real Upper Band-10-10,Real Lower Band-10-10,Real Lower Band-20-20,Real Middle Band-20-20,Chaikin A/D,OBV
145.1421,145.2971,146.0742,145.0026,0.4596,1.1144,0.6548,79.2806,88.6173,69.1194,60.3669,22.0548,11.5718,123.9367,124.5554,40.0000,100.0000,100.0000,0.0000,149.6408,140.6435,150.2514,140.3427,1014679420.2044,919169373.0000
144.6723,144.7480,145.3640,144.5534,0.3093,0.8492,0.5399,67.4238,79.8698,64.5193,57.6763,20.7249,11.2019,128.9789,93.2710,50.0000,90.0000,40.0000,0.0000,148.2317,141.1130,150.2257,139.2704,1008451343.5890,912422290.0000
144.5376,144.2502,144.8471,144.2232,0.1966,0.6592,0.4626,52.5993,69.3546,64.5741,57.6999,19.7644,10.9483,139.8381,90.2600,60.0000,100.0000,45.0000,0.0000,147.7109,141.3643,150.3432,138.1572,1005627716.7212,905111804.0000
144.5756,143.7062,144.2132,143.8572,-0.0074,0.4060,0.4134,36.4849,53.0470,58.7765,54.4484,18.6848,10.6788,90.6769,68.1231,70.0000,0.0000,50.0000,0.0000,147.9050,141.2463,150.3848,137.0276,1009982161.0397,897366288.0000
144.8653,143.2397,143.8472,143.6464,-0.1508,0.2644,0.4153,24.0879,35.3963,46.8678,48.7538,17.8581,10.4980,-59.6502,-2.9291,80.0000,10.0000,55.0000,0.0000,148.9983,140.7323,150.5268,135.9527,1010249016.3516,887670545.0000
145.2968,142.7227,144.0222,143.7081,-0.0881,0.3649,0.4530,16.8276,21.0113,47.5746,49.0869,18.9629,10.9146,-77.1768,1.7342,90.0000,20.0000,60.0000,5.0000,149.4865,141.1072,151.3346,134.1108,997718422.7516,872007303.0000
145.5479,142.3167,144.2004,143.7595,-0.0035,0.4715,0.4750,15.7581,15.8560,45.9232,48.3323,19.9510,11.3057,-109.7342,1.3653,100.0000,30.0000,65.0000,10.0000,149.5040,141.5918,151.5402,133.0933,997459589.1135,868948302.0000
145.8455,142.0346,144.4983,143.8542,0.1616,0.6374,0.4759,16.5033,13.6155,48.8059,49.7929,20.4921,11.6048,-124.7204,13.6552,90.0000,40.0000,70.0000,15.0000,149.3726,142.3185,151.5160,132.5532,995546441.0677,876542920.0000
146.0086,141.9503,144.6957,143.8799,0.3281,0.7635,0.4355,22.8372,17.8027,46.5092,48.6730,21.7269,12.0741,-155.5910,18.6026,100.0000,50.0000,75.0000,20.0000,149.2460,142.7711,151.4041,132.4964,1001608225.2884,876542920.0000
146.0955,141.8860,145.0636,143.9683,0.6180,0.9714,0.3535,34.8739,18.0916,54.5062,52.7338,23.0989,12.5680,-86.0384,44.2207,0.0000,60.0000,80.0000,25.0000,149.0431,143.1480,151.3268,132.4452,1004836142.4770,883861175.0000
145.4520,141.7976,145.0530,143.8480,0.8128,1.0118,0.1990,55.3868,32.6173,52.5962,51.7378,24.9280,12.9410,-39.8628,44.4249,0.0000,70.0000,85.0000,30.0000,150.8057,140.0984,151.1487,132.4466,1009576911.3724,890217317.0000
144.8238,141.7109,145.1599,143.7717,1.1077,1.1034,-0.0042,74.7763,53.9128,60.0454,55.3774,27.3545,13.4265,30.2654,71.2853,0.0000,80.0000,90.0000,35.0000,151.7009,137.9466,150.9893,132.4325,1004318434.7358,898205033.0000
143.9628,141.5391,144.8971,143.5011,1.3053,1.0241,-0.2812,86.4945,79.6302,68.6313,59.2645,28.3838,13.5520,69.7921,105.1377,0.0000,90.0000,95.0000,40.0000,151.9327,135.9930,150.5926,132.4856,1010979442.7358,904866041.0000
142.8367,141.2908,144.1897,143.0191,1.3385,0.7310,-0.6075,89.9057,90.7859,72.2495,60.8434,27.5922,13.2718,93.8459,134.0864,0.0000,100.0000,100.0000,45.0000,151.3264,134.3470,149.8733,132.7084,1016054027.3720,912163777.0000
141.6142,141.0093,143.1748,142.4151,1.2195,0.2774,-0.9421,87.7611,89.0673,69.2714,58.7088,25.8926,12.8095,93.2511,125.5067,0.0000,100.0000,100.0000,50.0000,149.8592,133.3692,148.9381,133.0804,1013549981.9985,905897393.0000
140.1485,140.9398,142.2413,141.8930,1.0821,-0.1649,-1.2470,85.9220,89.8638,65.2780,55.9951,24.4385,12.4638,88.8870,95.7017,10.0000,90.0000,95.0000,55.0000,148.9670,131.3300,148.6659,133.2136,1010660678.8692,900000856.0000
139.0856,140.9187,141.4659,141.4890,0.9579,-0.5596,-1.5175,81.1095,84.3522,65.7721,56.2206,23.7634,12.3929,119.3688,98.4428,20.0000,100.0000,100.0000,60.0000,147.5100,130.6611,148.5947,133.2427,1007687862.7115,895288679.0000
138.2236,140.9450,140.4948,141.0315,0.6910,-1.0659,-1.7570,77.0940,83.5500,64.4045,55.2553,22.9030,12.2944,167.9150,94.0739,30.0000,90.0000,0.0000,65.0000,145.3769,131.0704,148.6916,133.1985,1008942523.9191,901671086.0000
137.8920,141.0200,139.4402,140.5884,0.2936,-1.6361,-1.9298,70.5364,75.4262,61.2963,53.0596,22.1739,12.2642,193.4709,69.7658,40.0000,100.0000,0.0000,70.0000,143.9344,131.8496,148.9580,133.0820,1004344525.4840,894284624.0000
137.6765,141.3229,138.4470,140.2388,-0.2014,-2.2046,-2.0032,64.3133,72.3057,43.9825,42.5212,21.3638,12.2323,59.7251,-33.6162,50.0000,0.0000,5.0000,75.0000,142.9498,132.4031,150.0970,132.5487,1009655428.9262,881932980.0000
138.1432,141.8092,138.3960,140.4033,-0.4124,-2.3652,-1.9528,55.4011,63.8772,42.2622,41.5994,23.4698,12.4841,-2.9069,-65.3398,60.0000,10.0000,10.0000,80.0000,144.4189,131.8675,151.0106,132.6079,1006868815.0602,875990442.0000
