SMA-10,SMA-20,EMA-10,EMA-20,MACD-10,MACD_Hist-10,MACD_Signal-10,SlowK,SlowD,RSI-10,RSI-20,ADX-10,ADX-20,CCI-10,CCI-20,Aroon Down-10,Aroon Up-10,Aroon Down-20,Aroon Up-20,Real Lower Band-10,Real Upper Band-10,Real Lower Band-20,Real Upper Band-20,Chaikin A/D,OBV
118.7970,118.6630,119.9295,118.6337,1.3938,0.5911,0.8027,87.4156,89.4520,63.2475,57.2133,20.7597,11.2675,77.9386,128.5642,30.0000,90.0000,65.0000,95.0000,112.5547,125.0393,113.8365,123.4895,77447224012.4951,95188412095.0000
118.2960,118.4203,119.3361,118.2162,1.1971,0.5422,0.6549,92.4369,86.4163,67.0422,58.6279,20.4967,11.1630,119.7427,181.9677,40.0000,100.0000,0.0000,100.0000,112.5723,124.0197,113.9340,122.9067,77440266492.9671,95266672516.0000
117.8050,117.9415,118.4063,117.6579,0.8350,0.3157,0.5193,88.5034,77.2686,63.8605,56.9804,19.4533,10.9136,146.2711,179.1931,50.0000,90.0000,0.0000,95.0000,113.2312,122.3788,113.6967,122.1863,77445799256.8524,95345640146.0000
117.5580,117.3140,117.6033,117.1987,0.5134,0.0729,0.4404,78.3086,64.8317,61.6149,55.8558,18.5297,10.7103,165.0218,156.6642,60.0000,100.0000,0.0000,100.0000,113.7126,121.4034,112.0732,122.5549,77377610559.0702,95256635951.0000
117.3490,116.7096,116.8462,116.7975,0.1982,-0.2240,0.4222,64.9939,48.7619,50.5543,50.9874,17.5035,10.4963,60.1430,62.7446,70.0000,10.0000,5.0000,30.0000,114.0951,120.6029,110.5974,122.8218,77306239694.3998,95130714988.0000
117.5960,116.4046,116.8187,116.7793,0.2044,-0.2737,0.4782,51.1927,32.6315,49.2512,50.4736,17.7727,10.6273,-32.9643,11.8632,80.0000,20.0000,10.0000,35.0000,114.1268,121.0652,109.7866,123.0225,77293208142.3998,94961304812.0000
117.9010,116.1849,116.8740,116.8014,0.2501,-0.2965,0.5466,30.0991,22.0010,45.9843,49.1832,18.7606,11.0397,-77.5807,-4.9154,90.0000,30.0000,15.0000,40.0000,114.3120,121.4900,109.3165,123.0532,77312693501.0061,94914613481.0000
118.0650,116.1500,117.1682,116.9331,0.4087,-0.2120,0.6207,16.6028,18.8110,40.4357,47.0770,19.1677,11.3423,-173.5514,-33.3666,100.0000,40.0000,20.0000,45.0000,114.7841,121.3459,109.2620,123.0379,77305915087.8669,94838114247.0000
118.2290,116.2190,117.8922,117.2513,0.7721,0.0983,0.6737,19.3012,25.9149,49.5740,51.0879,18.7677,11.5008,-178.2796,-23.3789,100.0000,0.0000,25.0000,50.0000,115.7227,120.7353,109.3948,123.0432,77239924329.8301,94724887999.0000
118.5610,116.0507,118.0505,117.2588,0.8917,0.2426,0.6492,20.5292,37.2484,54.5256,53.0032,19.0423,11.8445,-58.0907,40.4272,20.0000,10.0000,30.0000,55.0000,115.8291,121.2929,109.1638,122.9375,77361271104.9124,94852847317.0000
118.5290,115.9281,117.9195,117.1134,0.8828,0.2943,0.5885,37.9144,54.8547,51.3825,51.7678,20.1887,12.1348,-29.9472,52.8019,30.0000,20.0000,35.0000,60.0000,115.7941,121.2639,109.1435,122.7128,77429902129.2773,94926451604.0000
118.5447,115.9110,117.9927,117.0633,0.9655,0.4505,0.5149,53.3017,66.6432,54.6872,53.0549,21.4624,12.4404,7.4065,68.1006,0.0000,30.0000,40.0000,65.0000,115.8297,121.2596,109.1415,122.6805,77383458000.1573,94852338632.0000
118.0780,115.8039,117.8556,116.9004,0.9531,0.5508,0.4023,73.3480,70.8862,57.7689,54.2355,21.8073,12.5526,85.2075,97.6149,0.0000,40.0000,45.0000,70.0000,114.2092,121.9468,109.1417,122.4662,77457263997.6078,94928660743.0000
117.0701,115.6264,117.4790,116.6215,0.8278,0.5632,0.2646,73.2800,65.5042,56.2830,53.5778,21.2862,12.4992,79.3885,108.1340,0.0000,50.0000,50.0000,75.0000,110.7717,123.3685,109.1875,122.0654,77494271662.2944,95002931716.0000
