SMA-10,SMA-20,EMA-10,EMA-20,MACD_Hist-10,MACD-10,MACD_Signal-10,SlowK,SlowD,RSI-10,RSI-20,ADX-10,ADX-20,CCI-10,CCI-20,Aroon Down-10,Aroon Up-10,Aroon Up-20,Aroon Down-20,Real Upper Band-10,Real Lower Band-10,Real Upper Band-20,Real Lower Band-20,Chaikin A/D,OBV
122.2000,119.4574,122.2184,120.2159,0.7132,2.1027,1.3895,66.3130,60.0457,66.3081,58.5331,31.3310,14.6588,109.8669,119.9158,0.0000,100.0000,100.0000,0.0000,127.2651,117.1349,126.3308,112.5841,412188665.4829,351137595.0000
121.4570,118.8451,121.8292,119.8207,0.8295,2.0407,1.2112,49.8088,61.6531,67.3470,58.9045,29.4109,14.0311,48.9133,95.6485,10.0000,80.0000,90.0000,0.0000,127.3738,115.5402,126.1686,111.5217,407197508.0497,345614835.0000
120.8130,118.1755,121.3113,119.3639,0.9089,1.9127,1.0038,64.0154,73.9995,63.8304,57.1222,28.6195,13.7301,56.1847,108.8091,20.0000,90.0000,95.0000,5.0000,126.8141,114.8119,125.8722,110.4787,409891641.6357,350162996.0000
120.2880,117.6537,120.9693,118.9970,1.0782,1.8548,0.7766,71.1351,83.6977,69.2070,59.0731,27.8728,13.4461,70.2899,130.3409,30.0000,100.0000,100.0000,10.0000,126.4019,114.1741,125.4267,109.8807,406267106.1963,346472259.0000
119.7280,117.0128,120.3181,118.4808,1.1400,1.6471,0.5070,86.8480,91.2425,70.2210,59.4404,26.2255,13.0028,84.6002,147.1577,0.0000,90.0000,95.0000,0.0000,125.4278,114.0282,124.7335,109.2921,411069751.6726,351571593.0000
118.8370,116.1278,119.4776,117.8894,1.1156,1.3376,0.2220,93.1100,87.0066,70.6870,59.6165,24.8060,12.6507,129.6763,169.6754,0.0000,100.0000,100.0000,0.0000,124.3054,113.3686,124.4321,107.8235,414361579.1857,357559584.0000
117.9800,115.2057,118.4282,117.2251,0.9698,0.9129,-0.0569,93.7695,76.1922,68.2808,58.1196,22.2887,12.1109,157.4131,155.4274,10.0000,90.0000,95.0000,0.0000,122.4044,113.5556,123.8100,106.6013,415141116.0909,355468398.0000
117.4990,114.4166,117.4278,116.6246,0.7863,0.4870,-0.2993,74.1404,61.8374,63.9384,55.5695,19.9020,11.6707,257.0138,159.7478,20.0000,100.0000,100.0000,5.0000,120.4750,114.5230,122.9369,105.8963,411489606.0729,359604292.0000
117.0820,113.9031,116.6651,116.1787,0.6428,0.1469,-0.4959,60.6667,59.3721,54.6873,50.8594,17.2502,11.2073,181.9464,100.3293,30.0000,100.0000,100.0000,10.0000,119.0580,115.1060,122.0373,105.7688,405144049.0168,352068343.0000
117.1270,113.6744,116.4951,116.0470,0.7166,0.0600,-0.6566,50.7051,65.8624,55.3203,51.1146,16.3215,11.3014,23.1776,71.0018,0.0000,10.0000,55.0000,15.0000,119.1525,115.1015,121.6549,105.6940,400970240.0785,346413224.0000
