SMA-10,SMA-20,EMA-10,EMA-20,MACD-10,MACD_Signal-10,MACD_Hist-10,SlowK,SlowD,RSI-10,RSI-20,ADX-10,ADX-20,CCI-10,CCI-20,Aroon Down-10,Aroon Up-10,Aroon Up-20,Aroon Down-20,Real Upper Band-10,Real Lower Band-10,Real Upper Band-20,Real Lower Band-20,Chaikin A/D,OBV
146.0795,146.4760,146.8684,146.0433,0.8600,0.5158,0.3442,88.6173,79.2806,67.0712,58.2882,22.0548,11.5718,123.9367,124.5554,40.0000,100.0000,100.0000,0.0000,149.8274,142.3316,151.2112,141.7407,1014679420.2044,919169373.0000
145.7278,145.9650,146.2191,145.6489,0.6093,0.4298,0.1795,79.8698,67.4238,61.4531,55.3651,20.7249,11.2019,128.9789,93.2710,50.0000,90.0000,40.0000,0.0000,148.5668,142.8889,151.3240,140.6059,1008451343.5890,912422290.0000
145.7070,145.4888,145.8145,145.3972,0.4586,0.3849,0.0737,69.3546,52.5993,60.7996,55.0401,19.7644,10.9483,139.8381,90.2600,60.0000,100.0000,45.0000,0.0000,148.4802,142.9338,151.6568,139.3209,1005627716.7212,905111804.0000
145.8174,145.0485,145.3621,145.1390,0.2789,0.3665,-0.0876,53.0470,36.4849,55.1851,52.3331,18.6848,10.6788,90.6769,68.1231,70.0000,0.0000,50.0000,0.0000,148.9834,142.6515,151.7165,138.3806,1009982161.0397,897366288.0000
146.1752,144.6346,145.1559,145.0179,0.2043,0.3884,-0.1841,35.3963,24.0879,45.9921,48.4385,17.8581,10.4980,-59.6502,-2.9291,80.0000,10.0000,55.0000,0.0000,150.1732,142.1772,151.9402,137.3289,1010249016.3516,887670545.0000
146.5573,144.2095,145.3617,145.1008,0.3160,0.4344,-0.1185,21.0113,16.8276,47.1326,48.9364,18.9629,10.9146,-77.1768,1.7342,90.0000,20.0000,60.0000,5.0000,150.4680,142.6466,152.4850,135.9339,997718422.7516,872007303.0000
146.7654,143.8363,145.5532,145.1641,0.4263,0.4640,-0.0377,15.8560,15.7581,45.1372,48.1107,19.9510,11.3057,-109.7342,1.3653,100.0000,30.0000,65.0000,10.0000,150.4298,143.1011,152.6793,134.9934,997459589.1135,868948302.0000
147.1724,143.6553,145.8850,145.2803,0.6058,0.4735,0.1323,13.6155,16.5033,44.8819,48.0018,20.4921,11.6048,-124.7204,13.6552,90.0000,40.0000,70.0000,15.0000,150.4254,143.9194,152.6199,134.6907,995546441.0677,876542920.0000
147.3948,143.5922,146.3039,145.4150,0.8322,0.4404,0.3918,17.8027,22.8372,52.2069,51.4379,21.7269,12.0741,-155.5910,18.6026,100.0000,50.0000,75.0000,20.0000,149.9868,144.8027,152.5640,134.6204,1001608225.2884,876542920.0000
147.5328,143.4629,146.3692,145.3524,0.9043,0.3425,0.5619,18.0916,34.8739,52.2637,51.4638,23.0989,12.5680,-86.0384,44.2207,0.0000,60.0000,80.0000,25.0000,149.9568,145.1088,152.3658,134.5599,1004836142.4770,883861175.0000
146.8724,143.4048,146.4457,145.2816,0.9818,0.2020,0.7798,32.6173,55.3868,53.1322,51.8780,24.9280,12.9410,-39.8628,44.4249,0.0000,70.0000,85.0000,30.0000,152.3076,141.4373,152.2551,134.5544,1009576911.3724,890217317.0000
146.2021,143.2489,146.4841,145.1772,1.0411,0.0070,1.0340,53.9128,74.7763,58.6396,54.4943,27.3545,13.4265,30.2654,71.2853,0.0000,80.0000,90.0000,35.0000,153.1971,139.2072,152.0009,134.4968,1004318434.7358,898205033.0000
145.2707,143.0130,146.1845,144.8978,0.9429,-0.2515,1.1943,79.6302,86.4945,62.8604,56.4406,28.3838,13.5520,69.7921,105.1377,0.0000,90.0000,95.0000,40.0000,153.5179,137.0234,151.5088,134.5172,1010979442.7358,904866041.0000
144.2796,142.7479,145.5690,144.4708,0.6895,-0.5500,1.2396,90.7859,89.9057,66.3603,58.0440,27.5922,13.2718,93.8459,134.0864,0.0000,100.0000,100.0000,45.0000,152.8918,135.6675,150.8051,134.6907,1016054027.3720,912163777.0000
143.0939,142.6292,144.6137,143.9027,0.2632,-0.8599,1.1231,89.0673,87.7611,62.6361,55.6639,25.8926,12.8095,93.2511,125.5067,0.0000,100.0000,100.0000,50.0000,151.5658,134.6221,150.3253,134.9331,1013549981.9985,905897393.0000
141.8616,142.5552,143.8499,143.4660,-0.0998,-1.1407,1.0409,89.8638,85.9220,59.3613,53.6434,24.4385,12.4638,88.8870,95.7017,10.0000,90.0000,95.0000,55.0000,150.6694,133.0538,150.0677,135.0428,1010660678.8692,900000856.0000
140.9073,142.5488,143.2430,143.1381,-0.4121,-1.4009,0.9889,84.3522,81.1095,64.7444,56.2084,23.7634,12.3929,119.3688,98.4428,20.0000,100.0000,100.0000,60.0000,149.5290,132.2856,150.0476,135.0500,1007687862.7115,895288679.0000
140.1382,142.5314,142.1570,142.6127,-0.9623,-1.6482,0.6858,83.5500,77.0940,60.8075,53.6152,22.9030,12.2944,167.9150,94.0739,30.0000,90.0000,0.0000,65.0000,147.2927,132.9837,149.9798,135.0830,1008942523.9191,901671086.0000
139.7896,142.6183,141.2533,142.2326,-1.4565,-1.8196,0.3631,75.4262,70.5364,64.7926,55.5268,22.1739,12.2642,193.4709,69.7658,40.0000,100.0000,0.0000,70.0000,146.0019,133.5774,150.2746,134.9619,1004344525.4840,894284624.0000
139.3929,142.7759,139.8896,141.6897,-2.1849,-1.9104,-0.2746,72.3057,64.3133,41.0425,42.1418,21.3638,12.2323,59.7251,-33.6162,50.0000,0.0000,5.0000,75.0000,143.8802,134.9056,150.9323,134.6196,1009655428.9262,881932980.0000
139.9371,143.2352,139.9937,141.9285,-2.2715,-1.8418,-0.4297,63.8772,55.4011,41.5136,42.3682,23.4698,12.4841,-2.9069,-65.3398,60.0000,10.0000,10.0000,80.0000,145.4977,134.3766,151.6156,134.8548,1006868815.0602,875990442.0000
140.2956,143.6299,140.0878,142.1767,-2.3641,-1.7343,-0.6297,56.7570,43.9382,36.9078,40.2116,24.6102,12.4392,-14.5612,-74.7242,70.0000,20.0000,15.0000,85.0000,146.1687,134.4224,152.0263,135.2335,1011765846.6594,867974282.0000
140.7554,143.9775,140.4367,142.5619,-2.3407,-1.5769,-0.7638,45.5689,29.8009,38.2638,40.9393,25.8774,12.3920,-45.7125,-105.4344,80.0000,30.0000,20.0000,90.0000,146.7189,134.7918,152.0686,135.8864,1018287455.1515,857710767.0000
141.2161,144.3876,140.7462,142.9322,-2.3303,-1.3859,-0.9444,29.4887,16.8773,33.9802,38.8773,25.9001,11.9788,-71.5296,-134.5335,90.0000,0.0000,25.0000,95.0000,147.2905,135.1417,152.2655,136.5097,1021769084.6253,864073745.0000
142.1645,144.7858,141.3540,143.4502,-2.1781,-1.1498,-1.0283,14.3451,11.0766,23.4016,34.0391,23.9791,11.0567,-145.7888,-208.7524,100.0000,10.0000,30.0000,100.0000,148.8697,135.4593,152.1206,137.4510,1017665488.8864,856985716.0000
143.2489,145.2590,142.6044,144.2631,-1.7196,-0.8928,-0.8268,6.7982,13.1827,25.5132,35.5744,20.1832,9.6885,-195.2352,-232.0829,100.0000,20.0000,35.0000,100.0000,148.8567,137.6411,151.3026,139.2154,1011928933.9872,864350468.0000
144.1903,145.8206,143.8414,145.0237,-1.2428,-0.6861,-0.5567,12.0865,19.5857,32.3243,40.0242,16.8085,8.5779,-224.1246,-229.7500,100.0000,0.0000,40.0000,100.0000,148.2616,140.1189,150.6743,140.9668,1012934972.2253,871555877.0000
144.9246,146.1197,144.5974,145.5063,-0.9624,-0.5469,-0.4155,20.6633,21.3985,38.5915,43.5197,13.9890,7.7423,-107.3705,-141.2424,90.0000,0.0000,45.0000,95.0000,148.6599,141.1893,150.3007,141.9387,1020562778.4332,879981942.0000
